mesurement id;Destination;avg(avg RTT) from rmd;avg(avg RTT) from mPlane;avg(avg RTT) from FranceIX;avg(avg RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab;AS;Country;Continent
2841000;31.13.76.102;157.55;144.95;129.31;163.37;2.41;8.32;8.54;27.71;32934;IE;Europe
2841002;74.125.136.190;16.82;17.35;13.64;31.5;0.37;2.46;0.13;13.24;15169;US;America
2841004;180.149.132.47;243.53;415.54;294.54;272.74;22.79;24.99;26.57;63.04;23724;CN;Asia
2841006;98.139.183.24;94.0;88.64;110.41;136.19;22.35;4.46;41.5;49.6;26101;US;America
2841010;91.198.174.192;21.08;17.87;12.81;28.95;0.4;3.45;0.31;6.59;43821;NL;Europe
2841012;125.39.240.113;409.1;345.88;379.36;352.93;27.58;36.53;48.72;28.64;4837;CN;Asia
2841014;199.16.156.198;108.18;94.25;90.61;106.62;2.32;2.95;0.05;25.13;13414;US;America
2841016;110.75.115.70;315.09;456.77;375.13;387.13;80.63;108.97;64.85;68.45;37963;CN;Asia
2841022;199.101.163.129;163.05;156.19;167.4;170.87;3.63;3.4;0.13;29.24;20049;US;Asia
2841024;183.79.135.206;285.82;262.6;267.38;284.96;7.89;4.97;0.1;5.69;24572;JP;Asia
2841026;114.134.80.162;304.64;263.7;260.39;270.12;6.09;5.88;5.54;44.99;9304;HK;Asia
2841030;5.255.255.55;61.94;61.93;57.75;63.68;3.47;2.86;0.54;11.13;13238;RU;Europe
2841032;180.149.131.31;205.45;359.36;299.86;306.97;23.44;46.52;34.97;44.61;23724;CN;Asia
2841034;87.240.131.120;53.08;54.42;57.4;59.51;5.12;3.08;0.13;10.42;47541;RU;Europe
2841036;204.79.197.200;2.43;4.19;10.15;32.5;0.24;3.67;0.94;6.49;8068;US;America
2841040;199.16.156.11;109.65;95.54;92.45;106.07;0.84;4.08;0.09;17.66;13414;US;America
2841046;23.235.37.84;9.82;9.46;9.83;26.33;1.29;2.76;0.18;6.93;54113;US;America
2841048;198.11.132.43;157.18;161.99;149.68;173.25;0.45;3.37;0.1;40.36;45102;US;America
2841050;66.235.120.127;82.87;80.4;85.52;96.2;0.96;3.0;7.72;16.42;16798;US;America
2841052;110.75.114.89;325.94;504.33;408.02;360.58;80.68;94.22;25.17;83.11;37963;CN;Asia
2841054;74.125.136.191;16.77;19.89;13.64;31.61;0.49;2.97;0.15;6.66;15169;US;America
2841056;192.0.78.17;13.04;13.71;10.36;26.56;0.39;2.96;0.46;8.75;2635;US;America
2841058;198.41.209.143;9.37;11.14;9.93;19.96;2.19;2.64;0.16;7.08;13335;US;America
2841064;78.140.191.90;16.89;20.05;14.34;32.57;4.74;3.44;0.13;9.28;35415;NL;Europe
2841066;94.100.180.200;61.89;61.87;55.86;69.3;1.67;3.59;4.22;8.8;47764;RU;Europe
2841068;66.6.41.30;83.28;84.8;92.14;108.38;3.87;3.67;40.59;66.33;33612;US;America
2841070;123.125.116.19;389.43;341.01;380.46;252.36;16.15;5.26;40.93;42.97;4808;CN;Asia
2841075;185.31.18.193;9.47;9.69;10.08;28.92;0.53;2.62;0.09;5.7;54113;EU;Europe
2841077;141.0.174.44;16.25;15.04;12.0;31.19;4.76;3.55;2.77;15.48;46652;NL;Europe
2841085;54.149.140.74;177.01;152.71;169.85;183.59;4.89;2.5;0.38;33.04;16509;US;America
2841089;106.120.167.66;241.35;409.92;372.73;345.13;40.3;40.59;30.16;61.65;23724;CN;Asia
2841091;198.11.132.23;157.85;160.37;153.56;176.85;1.45;3.02;0.09;41.19;45102;US;America
2841093;199.181.131.249;144.67;139.38;152.37;156.04;0.16;2.84;0.19;6.71;62787;US;America
2841095;198.252.206.16;76.43;88.64;72.98;86.08;4.89;2.18;0.08;16.3;25791;US;America
2841097;217.20.147.94;63.16;57.11;53.01;72.18;26.75;3.01;0.09;6.44;47764;RU;Europe
2841099;208.82.238.129;153.87;158.11;150.45;166.42;3.57;3.26;2.6;4.07;22414;US;America
