mesurement id;Destination;avg(max RTT) from rmd;avg(max RTT) from mPlane;avg(max RTT) from FranceIX;avg(max RTT) from LISP-Lab;variance from rmd;variance from mPlane;variance from FranceIX;variance from LISP-Lab
2841000;31.13.76.102;157.86;147.48;129.44;165.61;2.44;22.31;24.7;29.09
2841002;74.125.136.190;17.08;18.26;13.73;31.94;0.43;4.22;0.14;25.86
2841004;180.149.132.47;245.02;421.41;297.55;276.28;23.3;25.69;32.08;64.72
2841006;98.139.183.24;94.84;92.4;110.71;139.58;23.12;5.18;42.08;52.18
2841010;91.198.174.192;21.48;19.79;12.95;30.82;1.0;5.38;0.83;8.57
2841012;125.39.240.113;409.8;348.32;384.92;357.97;28.11;39.82;51.27;29.75
2841014;199.16.156.198;108.6;95.91;90.69;107.19;2.31;4.2;0.06;25.83
2841016;110.75.115.70;317.99;465.79;378.1;392.39;81.55;110.0;66.73;70.02
2841022;199.101.163.129;163.38;158.43;167.53;174.42;3.65;4.36;0.3;31.72
2841024;183.79.135.206;286.91;265.54;267.47;291.48;15.53;7.19;0.13;9.27
2841026;114.134.80.162;305.16;266.97;261.3;275.02;6.99;6.19;5.82;46.34
2841030;5.255.255.55;62.21;63.2;57.92;66.21;3.79;4.95;0.88;11.93
2841032;180.149.131.31;213.65;378.63;305.64;315.16;22.85;49.23;43.3;46.05
2841034;87.240.131.120;53.38;56.36;57.55;60.95;5.14;4.22;0.21;12.3
2841036;204.79.197.200;2.77;5.98;10.29;34.35;0.35;5.43;1.92;7.69
2841040;199.16.156.11;110.12;97.01;92.55;106.89;0.87;5.96;0.13;18.31
2841046;23.235.37.84;10.24;10.84;10.01;31.92;2.38;3.72;0.44;15.0
2841048;198.11.132.43;157.46;164.95;149.79;174.62;0.51;6.39;0.12;41.08
2841050;66.235.120.127;83.17;81.6;86.28;97.83;1.14;5.76;22.69;17.17
2841052;110.75.114.89;327.7;513.06;415.9;361.94;81.26;97.52;24.2;84.63
2841054;74.125.136.191;17.06;22.22;13.73;31.81;0.54;4.39;0.16;7.57
2841056;192.0.78.17;13.34;16.09;10.48;33.2;0.85;3.65;0.83;13.72
2841058;198.41.209.143;9.7;12.05;10.1;21.83;2.92;4.3;0.33;9.62
2841064;78.140.191.90;17.56;22.99;14.46;35.92;13.7;4.77;0.15;12.67
2841066;94.100.180.200;62.23;64.2;56.06;72.81;1.94;4.48;12.57;12.12
2841068;66.6.41.30;83.58;85.52;92.27;111.35;11.03;4.58;41.33;70.27
2841070;123.125.116.19;390.4;343.12;381.07;254.02;16.76;4.38;43.5;43.47
2841075;185.31.18.193;9.85;11.8;10.23;31.15;0.88;4.05;0.14;6.83
2841077;141.0.174.44;16.55;16.44;12.15;39.08;5.33;4.88;2.88;21.27
2841085;54.149.140.74;180.82;154.6;169.98;189.15;5.63;4.44;0.56;36.36
2841089;106.120.167.66;272.98;410.69;374.4;361.22;46.04;39.42;30.96;62.73
2841091;198.11.132.23;158.1;162.42;153.63;179.25;1.71;4.31;0.13;42.24
2841093;199.181.131.249;144.96;141.11;152.55;158.67;0.25;3.84;0.35;11.18
2841095;198.252.206.16;76.71;90.41;73.09;87.02;5.37;3.26;0.13;17.52
2841097;217.20.147.94;63.45;58.95;53.12;73.2;27.36;4.19;0.11;14.33
2841099;208.82.238.129;154.14;159.21;150.6;168.14;10.75;4.85;7.72;5.37
